Genotype,DAP,CA,Volume
Gladius,35DAP,1,2826.882
Chara,35DAP,3,2599.554
Kukri,35DAP,5,4245.253
Alsen,35DAP,7,3259.382
CDC Teal,35DAP,10,4867.861
AAC Brandon,35DAP,10,1699.025
