Genotype,DAP,CA,Volume
Gladius,14DAP,1,89.08721372
Chara,14DAP,1,103.1947382
Kukri,14DAP,5,103.0227229
Alsen,14DAP,7,277.7768625
CDC Teal,14DAP,10,239.6247955
AAC Brandon,14DAP,10,102.4420451
